ip_address,city.names.en,subdivisions.names.en,country.iso_code,registered_country.iso_code,traits.user_type,traits.asn,traits.isp
23.211.23.206,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.211.73.250,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.211.74.45,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.214.97.225,Amsterdam,North Holland,NL,NL,content_delivery_network,20940,Akamai Technologies
23.215.102.34,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.215.102.41,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.215.130.194,Paterson,New Jersey,US,US,content_delivery_network,20940,Akamai Technologies
23.215.130.200,Paterson,New Jersey,US,US,content_delivery_network,20940,Akamai Technologies
23.215.130.226,Paterson,New Jersey,US,US,content_delivery_network,20940,Akamai Technologies
23.215.130.232,Paterson,New Jersey,US,US,content_delivery_network,20940,Akamai Technologies
23.216.7.185,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.216.7.225,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.217.172.242,Cambridge,Massachusetts,US,US,content_delivery_network,16625,Akamai Technologies
23.217.18.182,Cambridge,Massachusetts,US,US,content_delivery_network,16625,Akamai Technologies
23.218.38.165,Cambridge,Massachusetts,US,US,content_delivery_network,16625,Akamai Technologies
23.218.62.254,Cambridge,Massachusetts,US,US,content_delivery_network,16625,Akamai Technologies
23.219.88.17,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.219.88.174,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.219.88.208,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.219.88.50,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.219.88.51,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.219.88.57,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.219.92.129,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.219.92.169,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.22.147.222,Ashburn,Virginia,US,US,hosting,14618,Amazon.com
23.22.39.120,Ashburn,Virginia,US,US,hosting,14618,Amazon.com
23.22.75.102,Ashburn,Virginia,US,US,hosting,14618,Amazon.com
23.220.48.31,Cambridge,Massachusetts,US,US,content_delivery_network,20940,Akamai Technologies
23.225.252.215,Los Angeles,California,US,US,hosting,33330,CloudRadium L.L.C
23.226.230.124,Atlanta,Georgia,US,US,hosting,3842,RamNode LLC
23.226.68.74,Phoenix,Arizona,US,US,hosting,53755,Input Output Flood LLC
23.227.1.35,Los Angeles,California,US,US,business,62650,Leaf Group
23.227.10.118,Los Angeles,California,US,US,business,62650,Leaf Group
23.227.10.119,Los Angeles,California,US,US,business,62650,Leaf Group
23.227.10.178,Los Angeles,California,US,US,business,62650,Leaf Group
23.227.10.25,Los Angeles,California,US,US,business,62650,Leaf Group
23.227.10.35,Los Angeles,California,US,US,business,62650,Leaf Group
23.227.10.42,Los Angeles,California,US,US,business,62650,Leaf Group
23.227.10.75,Los Angeles,California,US,US,business,62650,Leaf Group
